"filename", "language", "TypeScript", "JSON with Comments", "Markdown", "JavaScript", "JSON", "SQLite", "XML", "Prisma", "TypeScript JSX", "PostCSS", "comment", "blank", "total"
"d:\benou\Bureau\Code\studyswipe\src\app\(layout)\(authguarded)\profile\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 5, 29
"d:\benou\Bureau\Code\studyswipe\src\app\(layout)\(authguarded)\subscription\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 152, 0, 0, 14, 166
"d:\benou\Bureau\Code\studyswipe\src\app\(layout)\auth\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 4, 13
"d:\benou\Bureau\Code\studyswipe\src\app\(layout)\auth\loading.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 5, 23
"d:\benou\Bureau\Code\studyswipe\src\app\(layout)\auth\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 73, 0, 0, 10, 83
"d:\benou\Bureau\Code\studyswipe\src\app\(layout)\collections\[username]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 89, 0, 0, 13, 102
"d:\benou\Bureau\Code\studyswipe\src\app\(layout)\decks\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2, 4
"d:\benou\Bureau\Code\studyswipe\src\app\(layout)\discover\loading.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 3, 10
"d:\benou\Bureau\Code\studyswipe\src\app\(layout)\discover\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 31, 0, 0, 3, 34
"d:\benou\Bureau\Code\studyswipe\src\app\(layout)\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 1, 10
"d:\benou\Bureau\Code\studyswipe\src\app\(layout)\play\[deckid]\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 5, 27
"d:\benou\Bureau\Code\studyswipe\src\app\(layout)\play\[deckid]\loading.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 1, 7
"d:\benou\Bureau\Code\studyswipe\src\app\(layout)\play\[deckid]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 44, 0, 0, 10, 54
"d:\benou\Bureau\Code\studyswipe\src\app\api\auth\[...nextauth]\route.ts", "TypeScript", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4
"d:\benou\Bureau\Code\studyswipe\src\app\api\card\route.ts", "TypeScript", 101, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 25, 127
"d:\benou\Bureau\Code\studyswipe\src\app\api\collection\route.ts", "TypeScript", 86, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 22, 109
"d:\benou\Bureau\Code\studyswipe\src\app\api\deck\route.ts", "TypeScript", 118, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 29, 148
"d:\benou\Bureau\Code\studyswipe\src\app\api\fill\route.ts", "TypeScript", 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 49
"d:\benou\Bureau\Code\studyswipe\src\app\api\webhooks\stripe\route.ts", "TypeScript", 81, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 91
"d:\benou\Bureau\Code\studyswipe\src\app\globals.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 123, 0, 14, 137
"d:\benou\Bureau\Code\studyswipe\src\app\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 6, 42
"d:\benou\Bureau\Code\studyswipe\src\app\manifest.ts", "TypeScript", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 22
"d:\benou\Bureau\Code\studyswipe\src\app\middleware.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\benou\Bureau\Code\studyswipe\src\app\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 32, 0, 0, 3, 35
"d:\benou\Bureau\Code\studyswipe\src\components\AppFooter.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 3, 24
"d:\benou\Bureau\Code\studyswipe\src\components\AppIcon.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 2, 7
"d:\benou\Bureau\Code\studyswipe\src\components\AppLayout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 54, 0, 0, 12, 66
"d:\benou\Bureau\Code\studyswipe\src\components\AppNavbar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 87, 0, 0, 5, 92
"d:\benou\Bureau\Code\studyswipe\src\components\BackButton.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 32, 0, 0, 4, 36
"d:\benou\Bureau\Code\studyswipe\src\components\FooterLinks.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 35, 0, 0, 2, 37
"d:\benou\Bureau\Code\studyswipe\src\components\InstallPrompt.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 6, 42
"d:\benou\Bureau\Code\studyswipe\src\components\ProfileButton.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 71, 0, 0, 4, 75
"d:\benou\Bureau\Code\studyswipe\src\components\SkeletonLoader.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 2, 6
"d:\benou\Bureau\Code\studyswipe\src\components\pages\collections\CollectionOptionsDropdown.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 172, 0, 0, 6, 178
"d:\benou\Bureau\Code\studyswipe\src\components\pages\collections\DeckLink.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 192, 0, 0, 13, 205
"d:\benou\Bureau\Code\studyswipe\src\components\pages\collections\NewCollectionModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 106, 0, 0, 9, 115
"d:\benou\Bureau\Code\studyswipe\src\components\pages\deck\CardPreview.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 71, 0, 0, 5, 76
"d:\benou\Bureau\Code\studyswipe\src\components\pages\deck\DeckDataProvider.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 32, 0, 0, 5, 37
"d:\benou\Bureau\Code\studyswipe\src\components\pages\deck\DeckOptionsDropdown.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 199, 0, 0, 8, 207
"d:\benou\Bureau\Code\studyswipe\src\components\pages\deck\DeckPageBody.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 156, 0, 2, 11, 169
"d:\benou\Bureau\Code\studyswipe\src\components\pages\deck\DeckPageHeader.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 54, 0, 0, 3, 57
"d:\benou\Bureau\Code\studyswipe\src\components\pages\deck\LatexToolbar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 105, 0, 0, 5, 110
"d:\benou\Bureau\Code\studyswipe\src\components\pages\deck\NewCardModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 614, 0, 17, 41, 672
"d:\benou\Bureau\Code\studyswipe\src\components\pages\landing\cta.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 2, 20
"d:\benou\Bureau\Code\studyswipe\src\components\pages\play\ActionButton.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 37, 0, 1, 3, 41
"d:\benou\Bureau\Code\studyswipe\src\components\pages\play\CardsDisplayer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 286, 0, 1, 34, 321
"d:\benou\Bureau\Code\studyswipe\src\components\pages\play\CardsPlaygroundProgress.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 3, 24
"d:\benou\Bureau\Code\studyswipe\src\components\pages\play\FlashcardContent.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 91, 0, 0, 6, 97
"d:\benou\Bureau\Code\studyswipe\src\components\pages\play\PlayerContext.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 84, 0, 3, 9, 96
"d:\benou\Bureau\Code\studyswipe\src\components\pages\profile\SignoutBtn.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 5, 34
"d:\benou\Bureau\Code\studyswipe\src\components\ui\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 3
